Percent,Real_Goal,Time,Cost,Prob,Results
10,2,18954327,15/15/18/15/15/18/18/15/,0.13356328738350598/0.13356328738350598/0.11072785436082336/0.13356328738350598/0.13356328738350598/0.11072785436082336/0.11072785436082336/0.13356328738350598/,0/1/3/4/7/
10,2,19008170,18/18/15/18/15/18/15/18/,0.11602690352958138/0.11602690352958138/0.139955160784031/0.11602690352958138/0.139955160784031/0.11602690352958138/0.139955160784031/0.11602690352958138/,2/4/6/
10,2,17313661,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,3,17717810,18/18/15/18/15/18/15/18/,0.11602690352958138/0.11602690352958138/0.139955160784031/0.11602690352958138/0.139955160784031/0.11602690352958138/0.139955160784031/0.11602690352958138/,2/4/6/
10,3,19154254,15/15/18/15/15/18/18/15/,0.13356328738350598/0.13356328738350598/0.11072785436082336/0.13356328738350598/0.13356328738350598/0.11072785436082336/0.11072785436082336/0.13356328738350598/,0/1/3/4/7/
10,3,24967323,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,2,73604892,18/18/18/18/18/18/18/18/18/18/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,0,245821009,19/204/204/204/47/17/204/204/,0.4294125064221999/1.4767008122975609E-5/1.4767008122975609E-5/1.4767008122975609E-5/0.09063699425413865/0.4798766642830464/1.4767008122975609E-5/1.4767008122975609E-5/,5/
10,0,260837905,17/204/23/204/204/204/204/16/,0.3618874480852516/6.0441358776654315E-6/0.2542688241439409/6.0441358776654315E-6/6.0441358776654315E-6/6.0441358776654315E-6/6.0441358776654315E-6/0.38381350709141904/,0/7/
10,0,219032231,19/19/204/17/204/204/204/204/,0.32075019487531115/0.32075019487531115/1.1030234709821809E-5/0.358444459075829/1.1030234709821809E-5/1.1030234709821809E-5/1.1030234709821809E-5/1.1030234709821809E-5/,3/
10,2,352790201,17/204/19/204/17/204/16/204/,0.25318605317380466/4.228637704372113E-6/0.22508487373529873/4.228637704372113E-6/0.25318605317380466/4.228637704372113E-6/0.26852610536627447/4.228637704372113E-6/,0/4/6/
10,2,269260888,23/23/23/204/23/204/17/23/,0.15635509216783994/0.15635509216783994/0.15635509216783994/6.7149029411169E-6/0.15635509216783994/6.7149029411169E-6/0.21821110935491814/0.15635509216783994/,6/
10,2,296904460,204/23/19/204/17/204/204/204/,1.1783350051861338E-5/0.2743728091918264/0.34265017244402673/1.1783350051861338E-5/0.3829181016138878/1.1783350051861338E-5/1.1783350051861338E-5/1.1783350051861338E-5/,4/
10,4,303755082,17/204/204/204/17/204/204/204/,0.4999538455000183/1.538483332720893E-5/1.538483332720893E-5/1.538483332720893E-5/0.4999538455000183/1.538483332720893E-5/1.538483332720893E-5/1.538483332720893E-5/,0/4/
10,4,220451100,204/204/47/204/47/47/204/204/,0.011904786877402748/0.011904786877402748/0.31349202187099534/0.011904786877402748/0.31349202187099534/0.31349202187099534/0.011904786877402748/0.011904786877402748/,2/4/5/
10,4,307178255,23/204/23/23/204/204/204/204/,0.333038864423194/1.7668134608359327E-4/0.333038864423194/0.333038864423194/1.7668134608359327E-4/1.7668134608359327E-4/1.7668134608359327E-4/1.7668134608359327E-4/,0/2/3/
10,6,299802812,47/204/23/204/23/23/204/204/,0.10916299059489683/1.5742209551051437E-4/0.2967357736743537/1.5742209551051437E-4/0.2967357736743537/0.2967357736743537/1.5742209551051437E-4/1.5742209551051437E-4/,2/4/5/
